variable,mean,median,sd,mad,2.5%,97.5%,rhat,ess_bulk,ess_tail,compound,lod,perc_present
icc_log_level_3,0.2607957577217682,0.19779605072133127,0.20294404583216816,0.16532131242654166,0.03133251157093902,0.7838390348849655,1.000005001864058,6688.1833889505415,9009.316483459977,X268.0804_0.86074626,15538,0.9697986577181208
icc_log_minus_centre_nominator,0.3542580636728745,0.36777385535507423,0.11228743159682407,0.10842659237097062,0.09678427818544197,0.539640173092012,1.000188697321392,6119.145143009445,8420.48016227035,X268.0804_0.86074626,15538,0.9697986577181208
icc_log_minus_centre,0.4782335879607606,0.4814990864995534,0.06886425188799886,0.06811534943231613,0.33489822068801306,0.6033561465560062,1.0000996316510828,4678.234328432489,8534.90845547277,X268.0804_0.86074626,15538,0.9697986577181208
wi_sd_log,0.67206427485,0.6697204999999999,0.042891489600956005,0.042211104600000035,0.59422245,0.7628508999999998,0.9999755547268713,7266.681160990092,10880.256494119698,X268.0804_0.86074626,15538,0.9697986577181208
bw_sd_log_level_2,0.644844621,0.64439,0.06654375946589246,0.06599645639999999,0.5156360000000001,0.7754774499999999,1.00012653652675,5569.941067035756,9464.087727323105,X268.0804_0.86074626,15538,0.9697986577181208
bw_sd_log_level_3,0.588158952115,0.4635135,0.4388079060912506,0.2535675954,0.1699563,1.7646239999999909,1.000025844813345,6735.725977126596,8935.646508949705,X268.0804_0.86074626,15538,0.9697986577181208
icc_log_level_2,0.803964495039972,0.7952024889495206,0.06250219645637019,0.05487882848778157,0.6996285119588859,0.9528687209473163,1.0005793816000406,4461.325812179031,4129.374547323714,X159.0688_1.514154,10467,0.9932885906040269
icc_log_level_3,0.24405575230292562,0.17225515849434836,0.21492160812591177,0.16110911670197406,0.015252253906652564,0.8145976458150748,1.0005373458171503,3504.78037197975,4117.189936546034,X159.0688_1.514154,10467,0.9932885906040269
icc_log_minus_centre_nominator,0.5599087427370465,0.6074082508412858,0.16345433317147484,0.13011564676754275,0.1366200847434939,0.7602130717500107,1.0006648002227747,3585.120758591009,4317.814152406392,X159.0688_1.514154,10467,0.9932885906040269
icc_log_minus_centre,0.7400266530156135,0.7428371019331921,0.039498235620321384,0.03909025165960838,0.655270755056047,0.809538924372893,0.9999739978235977,4096.66664332904,8201.286055406972,X159.0688_1.514154,10467,0.9932885906040269
wi_sd_log,0.2920500731,0.2910625,0.01794157163602439,0.01761402930000002,0.2599359,0.329667025,1.0001268098947074,8215.893655902095,11105.883779471955,X159.0688_1.514154,10467,0.9932885906040269
bw_sd_log_level_2,0.49557912085,0.494606,0.03602285799487946,0.03578922270000001,0.428723575,0.570357125,1.000012233162562,4499.559335985486,10091.271804691969,X159.0688_1.514154,10467,0.9932885906040269
bw_sd_log_level_3,0.3538760114784,0.261815,0.33289778685828364,0.15775234649999997,0.07246644000000001,1.1953984999999994,1.0006378686126916,3563.203996556207,4050.876837973673,X159.0688_1.514154,10467,0.9932885906040269
icc_log_level_2,0.8233455062943653,0.8181680902888462,0.07685542128307658,0.08255210890025193,0.683904463443989,0.9721883208497695,0.9999626234822617,5467.934773658088,6967.637754202912,X137.0477_0.6691122,289650,1
icc_log_level_3,0.44967048774512397,0.41918260841949684,0.2270964306242435,0.2529797020940431,0.10118058832935667,0.9124040571955269,0.9999546853863459,5354.419168762858,7026.875816007124,X137.0477_0.6691122,289650,1
icc_log_minus_centre_nominator,0.37367501854924134,0.3908205891337476,0.15806220046122654,0.1735288178332895,0.057980535311851315,0.6359235465356072,0.9999591110349421,5283.70668515298,6951.065586290562,X137.0477_0.6691122,289650,1
icc_log_minus_centre,0.6779116916132675,0.6805541415398317,0.04705782795276093,0.046206048331295164,0.5782990756167455,0.7625418800236674,0.9999621292538909,4502.562110268448,9197.265591110096,X137.0477_0.6691122,289650,1
wi_sd_log,0.34981583045,0.3487845,0.021517531467761957,0.021252329699999958,0.31087597499999997,0.39553322500000004,0.99997905472582,8006.176949805095,12689.025955698262,X137.0477_0.6691122,289650,1
bw_sd_log_level_2,0.51012311535,0.508595,0.0391447223435933,0.03868177529999998,0.43686975,0.5911989499999999,0.9999914684229229,5300.200721785343,11117.677329606431,X137.0477_0.6691122,289650,1
bw_sd_log_level_3,0.6623649415,0.526753,0.48279629284691644,0.2741668397999999,0.209976925,1.986842249999999,0.9999570190797059,5392.810632857898,7030.589241853739,X137.0477_0.6691122,289650,1
icc_log_level_2,0.8478279236332754,0.8469781329360297,0.07181476994546364,0.08098042300627294,0.7113910727754444,0.9751217605879379,1.0004192205721218,6540.913755216186,8912.182343633078,X159.0304_0.67412543,14789,1
icc_log_level_3,0.5319522627698798,0.5219027080740554,0.21249659601512577,0.2520629049868052,0.16613637419006716,0.923570825141546,1.0005451237019427,6299.802062261286,9456.168803606794,X159.0304_0.67412543,14789,1
icc_log_minus_centre_nominator,0.3158756608633956,0.31900332264932757,0.14687631663681086,0.1706585663922643,0.051632328518627146,0.5805051618492502,1.0005462846992788,6079.9951999890945,9715.239673158996,X159.0304_0.67412543,14789,1
icc_log_minus_centre,0.6733926447267496,0.6759593941132536,0.047274625677640986,0.047515578247833846,0.5739681749373371,0.7578799254616213,1.0004256072953768,4418.658922564697,9238.148145196947,X159.0304_0.67412543,14789,1
wi_sd_log,0.38306746835,0.381757,0.023412376948238653,0.023141162099999994,0.34073587499999997,0.4323542,1.0002930099994514,7402.975314614826,11927.40916198506,X159.0304_0.67412543,14789,1
bw_sd_log_level_2,0.5528366479,0.5510205,0.042548643803240076,0.04224520440000003,0.474660125,0.6409404499999999,0.9999714063695276,5327.828042290531,9437.26872334166,X159.0304_0.67412543,14789,1
bw_sd_log_level_3,0.8555457564,0.7021505,0.5540341902829531,0.3468802155,0.303636425,2.3153624999999955,1.0005601913628286,6349.067757051073,9205.140235101202,X159.0304_0.67412543,14789,1
icc_log_level_2,0.23865566045702338,0.23034518486585936,0.11811070628465525,0.0994646800387072,0.04050633693214817,0.5180598985689474,1.000018386953,2901.7289289459995,3141.341168647749,X139.0614_0.80632013,63918,0.9530201342281879
icc_log_level_3,0.04808672693048879,0.011683894768459172,0.10394481060921071,0.016283430072088625,2.583226210281897e-5,0.3793556495957792,1.000020034356061,4929.136394237069,5386.6775380070485,X139.0614_0.80632013,63918,0.9530201342281879
