variable,mean,median,sd,mad,2.5%,97.5%,rhat,ess_bulk,ess_tail,compound,lod,perc_present
bw_sd_log_level_2,0.57214938305,0.571141,0.04991722765968663,0.049525511700000004,0.47810467500000003,0.6753982000000001,1.0003027300817267,6776.80822081758,12144.00790400037,X136.0381_1.6380798,16310,1
bw_sd_log_level_3,0.60645671387,0.47266600000000003,0.4498043683626403,0.25484633789999994,0.18186547500000003,1.8432687499999991,1.0000031813895223,5911.709539110547,8211.692720187439,X136.0381_1.6380798,16310,1
icc_log_level_2,0.6205449466153818,0.602917179603636,0.11651972709898026,0.10494390580787401,0.42980225832766517,0.8954433011199372,0.9999500064440927,5892.491262140483,8359.954092907758,X268.0804_0.86074626,15538,0.9697986577181208
icc_log_level_3,0.2638771658507025,0.201646034785594,0.20413080223500452,0.1666311738107154,0.030859658193768725,0.7952210777780835,0.9999503843672326,5841.250139690487,8842.694159586461,X268.0804_0.86074626,15538,0.9697986577181208
icc_log_minus_centre_nominator,0.3566677807646794,0.371746675122702,0.11325615198612721,0.10770742675831946,0.09578825490735247,0.5436522608555092,0.9999586120164979,5779.793069260825,8928.877519012445,X268.0804_0.86074626,15538,0.9697986577181208
icc_log_minus_centre,0.4839824133438655,0.4875628171408619,0.0689264190693541,0.06877781184076426,0.34137272896024545,0.6102348254198787,1.0000285745457875,5045.156354670946,8704.77467120637,X268.0804_0.86074626,15538,0.9697986577181208
wi_sd_log,0.67204596815,0.6699379999999999,0.04259913256313199,0.042360847199999815,0.595363225,0.7611183499999999,0.99996925650567825,7750.804986564001,12709.383541681875,X268.0804_0.86074626,15538,0.9697986577181208
bw_sd_log_level_2,0.65252077375,0.652256,0.06801123682755962,0.06723516870000006,0.521787925,0.7878321499999998,1.0000764087111385,5993.974651641073,10315.093301354304,X268.0804_0.86074626,15538,0.9697986577181208
bw_sd_log_level_3,0.599790738065,0.471641,0.4584286725804454,0.2548871094,0.169437875,1.8360754999999962,0.9999533845479487,5854.700124049705,8419.514993739984,X268.0804_0.86074626,15538,0.9697986577181208
icc_log_level_2,0.8081763198403732,0.7997704566590228,0.06328194512118178,0.056930365496215975,0.7020157703113445,0.9542207169175817,0.9999739026092668,5162.935555526652,8120.636460155839,X159.0688_1.514154,10467,0.9932885906040269
icc_log_level_3,0.26800120466048755,0.19901041014797544,0.21707470800653678,0.17539031241536834,0.024427709782351124,0.8254040155385262,0.9999560578386317,5208.836576936884,5907.725818636864,X159.0688_1.514154,10467,0.9932885906040269
icc_log_minus_centre_nominator,0.5401751151798856,0.5849147794003746,0.16434534430607425,0.138823617839713,0.1273359313194179,0.7504090865784994,0.999981674762002,5563.954725892218,8339.121054910847,X159.0688_1.514154,10467,0.9932885906040269
icc_log_minus_centre,0.7373047286383977,0.7398707648727958,0.04002911403915736,0.03915412272987787,0.6514189503323189,0.8089274878698117,1.0000741953905046,4261.602161524995,8321.846482965231,X159.0688_1.514154,10467,0.9932885906040269
wi_sd_log,0.29305136605,0.2921475,0.01800355776388004,0.01801358999999999,0.2602588,0.33058419999999994,1.0000206260160842,8063.372437172213,13782.516979203585,X159.0688_1.514154,10467,0.9932885906040269
bw_sd_log_level_2,0.4938360548,0.4920825,0.0363686030418692,0.036229554899999954,0.42683695,0.5698372749999999,1.0001425189071436,5097.698685930291,9418.469570555746,X159.0688_1.514154,10467,0.9932885906040269
bw_sd_log_level_3,0.378598973373,0.285537,0.3210148272346131,0.16623874889999998,0.09197344249999999,1.2404199999999992,0.9999763814218489,5204.353463897385,6054.656140917019,X159.0688_1.514154,10467,0.9932885906040269
icc_log_level_2,0.8164197437117983,0.811045339124542,0.07687695605361874,0.08164426995575692,0.6786814134969843,0.9668076901398226,1.000032992019232,5751.169929306118,7544.556984432501,X137.0477_0.6691122,289650,1
icc_log_level_3,0.431080652104958,0.3967339050273425,0.2257993769151985,0.2513016700054125,0.09095898581294325,0.8967846338392754,1.0001714773410186,5684.997393967027,7881.638151152641,X137.0477_0.6691122,289650,1
icc_log_minus_centre_nominator,0.3853390916068402,0.4047129383802883,0.15733650802810242,0.17377206974692713,0.06810510140482348,0.6425819252428409,1.0001821256318697,5609.639258472996,7859.924428140221,X137.0477_0.6691122,289650,1
icc_log_minus_centre,0.6758224615030817,0.6790788215720616,0.04766732502770498,0.04631521730465676,0.5723460995926986,0.7605698659793936,1.0000993080784866,4472.515771416859,9211.085047775357,X137.0477_0.6691122,289650,1
wi_sd_log,0.3508644391,0.3499985,0.021660842127562238,0.02120118000000001,0.31118877500000003,0.39610215000000004,1.0000583179086933,7802.449896266209,13038.147888164445,X137.0477_0.6691122,289650,1
bw_sd_log_level_2,0.5092780923,0.5080145,0.03991694506943842,0.03943271220000001,0.434669725,0.5922041499999999,1.000070729067435,5188.360966374974,10105.571151465481,X137.0477_0.6691122,289650,1
bw_sd_log_level_3,0.62576853571,0.501277,0.43522541749285903,0.2601851805,0.1987825,1.8282804999999929,1.0002013102486467,5716.15707886262,7772.217975640521,X137.0477_0.6691122,289650,1
