centre,variable,mean,median,sd,mad,2.5%,97.5%,rhat,ess_bulk,ess_tail,compound,lod,perc_present
Basel,icc_data,0.6774912873085722,0.6861832819261413,0.08424155373432157,0.08054394085487612,0.4858078653225037,0.8144382347156941,1.0008240000295514,1918.4185884343622,3262.2763142812387,X203.1159_0.7192281,4372100,1
Basel,icc_log,0.6894895374755363,0.6985482371997787,0.08386056782112523,0.07999758982986506,0.49755508024554207,0.8250182639077804,1.000851419447948,1910.3509499092413,3290.4979636968887,X203.1159_0.7192281,4372100,1
Basel,wi_sd_data,2359278.724759268,2339932.838758871,295794.99243459274,289818.0473949783,1851728.85258076,3001460.0928220637,0.9999202934560304,3358.2214622219426,5585.749410508789,X203.1159_0.7192281,4372100,1
Basel,bw_sd_data,3480852.433493969,3426598.499683639,568701.0578256287,544882.846550555,2518870.288805676,4738838.274385159,1.000988458213402,2128.7040907063674,3564.3113222839825,X203.1159_0.7192281,4372100,1
Basel,wi_sd_log,0.18663480175,0.184858,0.02123523650016875,0.020516218799999982,0.15032277500000002,0.23341167499999999,1.0002941697714811,3083.2595824908917,4197.869117774536,X203.1159_0.7192281,4372100,1
Basel,bw_sd_log,0.28286310175,0.28021050000000003,0.03896926231121179,0.03750236699999993,0.2122658,0.36527760000000004,1.0009514974880955,2190.523476033025,3634.2932901991394,X203.1159_0.7192281,4372100,1
Basel,icc_data,0.7739813642381431,0.781607526618707,0.062106030783357184,0.05932655922561416,0.6305707805531979,0.8750627024232607,1.0004506027554925,1540.7683169541524,3203.1986751927598,X430.3797_8.8398905,116169,1
Basel,icc_log,0.7780699815218797,0.7857680640338061,0.06178339239005159,0.05909681415949947,0.6363366696058755,0.8784743138949689,1.0004491643926772,1531.592482518125,3141.6126745512624,X430.3797_8.8398905,116169,1
Basel,wi_sd_data,19221.65827817747,19020.31478148281,2273.5872175846075,2243.4605950947403,15326.67444758951,24228.361808432914,1.0001048149072824,3001.792850663104,4928.739501173825,X430.3797_8.8398905,116169,1
Basel,bw_sd_data,36261.49033867442,35786.87742947026,4989.819509291973,4759.724038377359,27795.370990089315,47441.14694994757,1.0002425082676378,1553.6651481674132,2326.515273741113,X430.3797_8.8398905,116169,1
